200 species,100 species,50 species
Corynebacterium accolens (taxid 38284),Corynebacterium accolens (taxid 38284),Corynebacterium cystitidis (taxid 35757)
Pseudomonas eucalypticola (taxid 2599595),Pseudomonas sp. Z003-0.4C(8344-21) (taxid 1855380),Halopseudomonas litoralis (taxid 797277)
Salmonella enterica (taxid 28901),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Anaerococcus nagyae (taxid 1755241),Serpentinicella alkaliphila (taxid 1734049),Crassaminicella indica (taxid 2855394)
Thauera humireducens (taxid 1134435),Thauera humireducens (taxid 1134435),Sulfuriferula plumbiphila (taxid 171865)
Salmonella enterica subsp. enterica serovar Rough O:-:- (taxid 2579247),Vibrio parahaemolyticus 10329 (taxid 745023),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Arsenophonus nasoniae (taxid 638),Arsenophonus nasoniae (taxid 638),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Veillonella parvula (taxid 29466),Veillonella rogosae (taxid 423477),Staphylococcus warneri (taxid 1292)
Flavobacterium sp. N1719 (taxid 2885633),Chryseobacterium taklimakanense (taxid 536441),Candidatus Kaistella beijingensis (taxid 2820270)
Thermoflavifilum sp. (taxid 1968839),Flavisolibacter tropicus (taxid 1492898),Sphingomonas hengshuiensis (taxid 1609977)
Ornithinimicrobium flavum (taxid 1288636),Ornithinimicrobium flavum (taxid 1288636),Microlunatus elymi (taxid 2596828)
Amedibacterium intestinale (taxid 2583452),Faecalibaculum rodentium (taxid 1702221),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Caproicibacterium amylolyticum (taxid 2766537),Staphylococcus pseudintermedius (taxid 283734),Bacillus velezensis NAU-B3 (taxid 1385727)
Acinetobacter calcoaceticus (taxid 471),Aeromonas caviae (taxid 648),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Aureimonas sp. AU12 (taxid 1638161),Afipia carboxidovorans (taxid 40137),Brucella intermedia (taxid 94625)
Phocaeicola coprophilus (taxid 387090),Phocaeicola coprophilus (taxid 387090),Aquipluma nitroreducens (taxid 2010828)
Pseudoxanthomonas suwonensis 11-1 (taxid 743721),Stenotrophomonas maltophilia group (taxid 995085),Stenotrophomonas maltophilia group (taxid 995085)
Agromyces sp. H17E-10 (taxid 2932244),Actinomarinicola tropica (taxid 2789776),Microlunatus elymi (taxid 2596828)
Usitatibacter palustris (taxid 2732487),Cupriavidus malaysiensis (taxid 367825),Alcaligenes nematophilus (taxid 2994643)
Klebsiella pneumoniae (taxid 573),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Lawsonibacter asaccharolyticus (taxid 2108523),Ruminococcus champanellensis (taxid 1161942),Enterococcus faecium (taxid 1352)
Alistipes indistinctus (taxid 626932),Alistipes indistinctus (taxid 626932),Mucilaginibacter mali (taxid 2740462)
Erwinia sp. Ejp617 (taxid 215689),Sodalis ligni (taxid 2697027),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Urbifossiella limnaea (taxid 2528023),Limnoglobus roseus (taxid 2598579),Brucella intermedia (taxid 94625)
Bacteroides helcogenes P 36-108 (taxid 693979),Bacteroides helcogenes P 36-108 (taxid 693979),Aquipluma nitroreducens (taxid 2010828)
Capillimicrobium parvum (taxid 2884022),Staphylococcus nepalensis (taxid 214473),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Streptococcus thermophilus (taxid 1308),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Geodermatophilus obscurus DSM 43160 (taxid 526225),Geodermatophilus obscurus DSM 43160 (taxid 526225),Microlunatus elymi (taxid 2596828)
Escherichia fergusonii (taxid 564),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Rhodococcus erythropolis (taxid 1833),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Klebsiella michiganensis (taxid 1134687),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Catenibacterium mitsuokai (taxid 100886),Catenibacterium mitsuokai (taxid 100886),Crassaminicella indica (taxid 2855394)
Blautia obeum A2-162 (taxid 657314),Blautia luti (taxid 89014),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Bdellovibrio sp. NC01 (taxid 2220073),Bdellovibrio sp. NC01 (taxid 2220073),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Gracilinema caldarium DSM 7334 (taxid 744872),Salinispira pacifica (taxid 1307761),Treponema sp. Marseille-Q4132 (taxid 2766701)
Lactobacillus iners (taxid 147802),Lactobacillus iners (taxid 147802),Ligilactobacillus salivarius (taxid 1624)
Yersinia pestis str. Pestoides B (taxid 748678),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Pyramidobacter piscolens (taxid 638849),Pyramidobacter piscolens (taxid 638849),Crassaminicella indica (taxid 2855394)
Sodalis praecaptivus (taxid 1239307),Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Anaerococcus sp. Marseille-Q7828 (taxid 3036300),Paraclostridium bifermentans (taxid 1490),Crassaminicella indica (taxid 2855394)
Wolbachia endosymbiont (group A) of Agelastica alni (taxid 3066130),Buchnera aphidicola (taxid 9),Sphingomonas sp. CL5.1 (taxid 2653203)
Paludibacter propionicigenes WB4 (taxid 694427),Sodaliphilus pleomorphus (taxid 2606626),Sphingomonas hengshuiensis (taxid 1609977)
Marvinbryantia formatexigens DSM 14469 (taxid 478749),Lacrimispora sp. BS-2 (taxid 3151850),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Salinispora tropica CNB-440 (taxid 369723),Micromonospora sp. NBC_01796 (taxid 2975987),Microlunatus elymi (taxid 2596828)
Prevotella corporis (taxid 28128),Prevotella herbatica (taxid 2801997),Chryseobacterium group (taxid 2782232)
Bacteroides uniformis (taxid 820),Bacteroides uniformis (taxid 820),Chryseobacterium group (taxid 2782232)
Vibrio sp. THAF191c (taxid 2661921),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Kosakonia cowanii (taxid 208223),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Prevotella nigrescens (taxid 28133),Prevotella herbatica (taxid 2801997),Chryseobacterium group (taxid 2782232)
Chitinophaga sp. XS-30 (taxid 2604421),Flavisolibacter tropicus (taxid 1492898),Sphingomonas hengshuiensis (taxid 1609977)
Shigella flexneri (taxid 623),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Pectinatus frisingensis (taxid 865),Candidatus Saccharimonas aalborgensis (taxid 1332188),Aeoliella mucimassa (taxid 2527972)
Vibrio anguillarum serovar O1 (taxid 42323),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Paramuribaculum intestinale (taxid 2094151),Barnesiella viscericola DSM 18177 (taxid 880074),Sphingomonas hengshuiensis (taxid 1609977)
Telluria mixta (taxid 34071),Massilia sp. WG5 (taxid 1707785),Sulfuriferula plumbiphila (taxid 171865)
Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1810 (taxid 1454647),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Sphingomonas nostoxanthinifaciens (taxid 2872652),Sphingomonas sp. NBWT7 (taxid 2596913),Sphingomonas hengshuiensis (taxid 1609977)
Bordetella trematum (taxid 123899),Tepidimonas taiwanensis (taxid 307486),Sulfuriferula plumbiphila (taxid 171865)
Pseudomonas asiatica (taxid 2219225),Pseudomonas protegens (taxid 380021),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Mucisphaera calidilacus (taxid 2527982),Mucisphaera calidilacus (taxid 2527982),Aeoliella mucimassa (taxid 2527972)
"Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:- (taxid 2583588)",Vibrio cholerae (taxid 666),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Candidatus Formimonas warabiya (taxid 1761012),Candidatus Formimonas warabiya (taxid 1761012),Bacillus subtilis (taxid 1423)
Cupriavidus pauculus (taxid 82633),Cupriavidus pauculus (taxid 82633),Ralstonia sp. RS647 (taxid 2880989)
Burkholderia cepacia complex (taxid 87882),Burkholderia ubonensis MSMB22 (taxid 1249668),Ralstonia sp. RS647 (taxid 2880989)
Deinococcus wulumuqiensis (taxid 980427),Deinococcus metallilatus (taxid 1211322),Bacillus velezensis NAU-B3 (taxid 1385727)
Chakrabartyella piscis (taxid 2918914),Chakrabartyella piscis (taxid 2918914),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Gottschalkia acidurici 9a (taxid 1128398),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Streptococcus agalactiae (taxid 1311),Streptococcus sp. CP1998 (taxid 3238303),Streptococcus chenjunshii (taxid 2173853)
Planktothrix agardhii NIVA-CYA 126/8 (taxid 388467),Xanthomonas albilineans (taxid 29447),Stenotrophomonas acidaminiphila (taxid 128780)
Parolsenella catena (taxid 2003188),Parolsenella catena (taxid 2003188),Microlunatus elymi (taxid 2596828)
Ornithinimicrobium avium (taxid 2283195),Ornithinimicrobium flavum (taxid 1288636),Microlunatus elymi (taxid 2596828)
Lactobacillus delbrueckii (taxid 1584),Lactobacillus delbrueckii (taxid 1584),Ligilactobacillus salivarius (taxid 1624)
Koleobacter methoxysyntrophicus (taxid 2751313),Koleobacter methoxysyntrophicus (taxid 2751313),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Anaerotruncus colihominis (taxid 169435),Clostridium perfringens (taxid 1502),Clostridium beijerinckii (taxid 1520)
Caulobacter segnis (taxid 88688),Caulobacter mirabilis (taxid 69666),Brucella intermedia (taxid 94625)
Allochromatium vinosum DSM 180 (taxid 572477),Sodalis ligni (taxid 2697027),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Gemella morbillorum (taxid 29391),Stenotrophomonas sp. ESTM1D_MKCIP4_1 (taxid 2072414),Stenotrophomonas maltophilia group (taxid 995085)
Treponema succinifaciens DSM 2489 (taxid 869209),Treponema peruense (taxid 2787628),Treponema sp. Marseille-Q4132 (taxid 2766701)
Agathobaculum sp. NTUH-O15-33 (taxid 3079302),Endozoicomonas sp. SCSIO W0465 (taxid 2918516),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Prevotella sp. E15-22 (taxid 2937774),Prevotella dentalis DSM 3688 (taxid 908937),Chryseobacterium group (taxid 2782232)
Clostridium thermosuccinogenes (taxid 84032),Acinetobacter soli (taxid 487316),Acinetobacter calcoaceticus/baumannii complex (taxid 909768)
Bacteroides zoogleoformans (taxid 28119),Bacteroides nordii (taxid 291645),Chryseobacterium group (taxid 2782232)
Enterobacter cloacae complex sp. ECL352 (taxid 2876028),Xenorhabdus poinarii G6 (taxid 1354304),Pseudomonas sp. FP198 (taxid 2954084)
Neochlamydia sp. S13 (taxid 1353976),Ottowia oryzae (taxid 2109914),Variovorax sp. PBL-E5 (taxid 434014)
Cloacibacillus porcorum (taxid 1197717),Cloacibacillus porcorum (taxid 1197717),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Citrobacter freundii (taxid 546),Citrobacter freundii (taxid 546),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Listeria monocytogenes (taxid 1639),Paenibacillus swuensis (taxid 1178515),Ligilactobacillus salivarius (taxid 1624)
Faecalibacterium sp. IP-3-29 (taxid 2929489),Faecalibacterium prausnitzii (taxid 853),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Chenggangzhangella methanolivorans (taxid 1437009),Candidatus Liberibacter asiaticus (taxid 34021),Brucella intermedia (taxid 94625)
Pseudomonas guguanensis (taxid 1198456),Pseudomonas sp. 273 (taxid 75692),Halopseudomonas litoralis (taxid 797277)
Clostridium isatidis (taxid 182773),Clostridium baratii (taxid 1561),Enterococcus faecium (taxid 1352)
Enterocloster bolteae (taxid 208479),Clostridium sp. M62/1 (taxid 411486),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Methanoregula formicica SMSP (taxid 593750),Methanoregula formicica SMSP (taxid 593750),Hylemonella gracilis (taxid 80880)
Weissella paramesenteroides (taxid 1249),Pediococcus acidilactici (taxid 1254),Ligilactobacillus salivarius (taxid 1624)
Calothrix sp. PCC 6303 (taxid 1170562),Trichodesmium erythraeum IMS101 (taxid 203124),Stenotrophomonas acidaminiphila (taxid 128780)
Bacillus thuringiensis (taxid 1428),Staphylococcus condimenti (taxid 70255),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Candidatus Saccharimonas aalborgensis (taxid 1332188),Candidatus Saccharimonas aalborgensis (taxid 1332188),Aeoliella mucimassa (taxid 2527972)
Corynebacterium nuruki S6-4 (taxid 863239),Corynebacterium incognita (taxid 2754725),Corynebacterium cystitidis (taxid 35757)
Enterobacter cloacae complex (taxid 354276),Xenorhabdus poinarii G6 (taxid 1354304),Pseudomonas sp. FP198 (taxid 2954084)
Duncaniella dubosii (taxid 2518971),Barnesiella viscericola DSM 18177 (taxid 880074),Sphingomonas hengshuiensis (taxid 1609977)
Neobacillus mesonae (taxid 1193713),Bacillus atrophaeus (taxid 1452),Bacillus velezensis NAU-B3 (taxid 1385727)
Niallia oryzisoli (taxid 1737571),Geobacillus proteiniphilus (taxid 860353),Ligilactobacillus salivarius (taxid 1624)
Streptococcus didelphis (taxid 102886),Streptococcus sp. FSL R7-0248 (taxid 2975324),Streptococcus chenjunshii (taxid 2173853)
Paucilactobacillus suebicus (taxid 152335),Lactobacillus gasseri (taxid 1596),Ligilactobacillus salivarius (taxid 1624)
Candidatus Fonsibacter ubiquis (taxid 1925548),Enterococcus faecalis ATCC 29212 (taxid 1201292),Crassaminicella indica (taxid 2855394)
Arthrobacter sp. NEB 688 (taxid 904039),Arthrobacter sp. NEB 688 (taxid 904039),Microlunatus elymi (taxid 2596828)
Clostridium sp. OS1-26 (taxid 3070681),Slackia heliotrinireducens (taxid 84110),Bacillus velezensis NAU-B3 (taxid 1385727)
Enhydrobacter sp. (taxid 1894999),Stella humosa (taxid 94),Sphingomonas sp. CL5.1 (taxid 2653203)
Acidaminococcus intestini (taxid 187327),Acidaminococcus intestini (taxid 187327),Staphylococcus warneri (taxid 1292)
Bifidobacterium angulatum (taxid 1683),Bifidobacterium angulatum (taxid 1683),Corynebacterium cystitidis (taxid 35757)
Devosia sp. A16 (taxid 1736675),Devosia sp. A16 (taxid 1736675),Brucella intermedia (taxid 94625)
Desulfoscipio gibsoniae DSM 7213 (taxid 767817),Candidatus Planktophila lacus (taxid 1884913),Microlunatus elymi (taxid 2596828)
Brevibacillus choshinensis (taxid 54911),Brevibacillus choshinensis (taxid 54911),Enterococcus faecium (taxid 1352)
Streptomyces armeniacus (taxid 83291),Arthrobacter sp. NEB 688 (taxid 904039),Microlunatus elymi (taxid 2596828)
Nocardioides rotundus (taxid 1774216),Nocardioides seonyuensis (taxid 2518371),Microlunatus elymi (taxid 2596828)
Cyclonatronum proteinivorum (taxid 1457365),Cyclonatronum proteinivorum (taxid 1457365),Desulfobulbus propionicus DSM 2032 (taxid 577650)
Kineothrix sp. MB12-C1 (taxid 3070215),Kineothrix sp. MB12-C1 (taxid 3070215),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Methylovirgula sp. 4M-Z18 (taxid 2293567),Sphingobium sp. Cam5-1 (taxid 2789327),Sphingomonas hengshuiensis (taxid 1609977)
Aromatoleum aromaticum (taxid 551760),Dechloromonas sp. A34 (taxid 447588),Sulfuriferula plumbiphila (taxid 171865)
Ketobacter alkanivorans (taxid 1917421),Pseudomonas hefeiensis (taxid 2738125),Halopseudomonas litoralis (taxid 797277)
Pseudomonas marincola (taxid 437900),Pseudomonas sp. Q1-7 (taxid 3020843),Halopseudomonas litoralis (taxid 797277)
Conexibacter sp. S30A1 (taxid 2937800),Conexibacter sp. S30A1 (taxid 2937800),Microlunatus elymi (taxid 2596828)
Candidatus Vondammii sp. HM_W22 (taxid 2687299),Klebsiella pneumoniae subsp. pneumoniae (taxid 72407),Pseudomonas sp. TCU-HL1 (taxid 1856685)
Oceanisphaera avium (taxid 1903694),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Bacteroides caccae (taxid 47678),Bacteroides caccae (taxid 47678),Chryseobacterium group (taxid 2782232)
Flintibacter sp. KGMB00164 (taxid 2610895),Flintibacter sp. KGMB00164 (taxid 2610895),Bacillus subtilis (taxid 1423)
Helicobacter pylori (taxid 210),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Lactobacillus johnsonii (taxid 33959),Lactobacillus crispatus (taxid 47770),Ligilactobacillus salivarius (taxid 1624)
Streptococcus equi (taxid 1336),Streptococcus equi (taxid 1336),Streptococcus chenjunshii (taxid 2173853)
Cronobacter sakazakii (taxid 28141),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Lachnoanaerobaculum umeaense (taxid 617123),Lacrimispora sp. BS-2 (taxid 3151850),Marvinbryantia formatexigens DSM 14469 (taxid 478749)
Salmonella enterica subsp. enterica serovar Infantis (taxid 595),Citrobacter portucalensis (taxid 1639133),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Moorella humiferrea (taxid 676965),Staphylococcus aureus (taxid 1280),Crassaminicella indica (taxid 2855394)
Pseudomonas aeruginosa (taxid 287),Brachybacterium sp. GPGPB12 (taxid 3023517),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Ornithobacterium rhinotracheale (taxid 28251),Staphylococcus simulans (taxid 1286),Bacillus velezensis NAU-B3 (taxid 1385727)
Bacillus velezensis (taxid 492670),Bacillus atrophaeus (taxid 1452),Bacillus velezensis NAU-B3 (taxid 1385727)
Halobacteroides halobius DSM 5150 (taxid 748449),Xanthomonas albilineans (taxid 29447),Stenotrophomonas acidaminiphila (taxid 128780)
Klebsiella sp. P1954 (taxid 2829835),Klebsiella sp. P1954 (taxid 2829835),Salmonella enterica subsp. enterica serovar Bareilly str. CFSAN000661 (taxid 1182172)
Sulfuritalea hydrogenivorans sk43H (taxid 1223802),Niveibacterium sp. SC-1 (taxid 3135646),Sulfuriferula plumbiphila (taxid 171865)
Sphingomonas sp. NBWT7 (taxid 2596913),Sphingomonas sp. NBWT7 (taxid 2596913),Sphingomonas hengshuiensis (taxid 1609977)
Caldisericum exile AZM16c01 (taxid 511051),Caldisericum exile AZM16c01 (taxid 511051),Crassaminicella indica (taxid 2855394)
Candidatus Promineifilum breve (taxid 1806508),Candidatus Promineifilum breve (taxid 1806508),Anaerolinea thermophila UNI-1 (taxid 926569)
Candidatus Filomicrobium marinum (taxid 1608628),Candidatus Filomicrobium marinum (taxid 1608628),Brucella intermedia (taxid 94625)
Ottowia oryzae (taxid 2109914),Ottowia oryzae (taxid 2109914),Variovorax sp. PBL-E5 (taxid 434014)
Bifidobacterium dentium (taxid 1689),Bifidobacterium dentium (taxid 1689),Corynebacterium cystitidis (taxid 35757)
